ACH2516,malharia ii
ACH4576,marketing de relacionamento
ACH4526,marketing de serviços
ACH4546,marketing de varejo
ACH4556,marketing eletrônico
ACH4536,marketing empresarial
ACH4545,marketing estratégico
ACH4708,marketing internacional
ACH4566,marketing social e de organizações não-lucrativas
ACH2637,marketing têxtil
ACH2013,matemática discreta i
ACH4563,matemática financeira
ACH1041,matemática para análise ambiental
ACH4028,materiais, micro e nanotecnologia
ACH2033,matrizes, vetores e geometria analítica
ACH4033,mecânica clássica
ACH3137,mecanismos biológicos do envelhecimento
ACH0585,medidas e avaliação física
ACH1506,meios de hospedagem
ACH3818,memória política e social, esquecimentos  e políticas de memória
ACH5054,metodologia da pesquisa e bioestatística
ACH4016,metodologia de ensino em ciências da natureza 1
ACH4017,metodologia de ensino em ciências da natureza 2
ACH3067,metodologia de pesquisa em gerontologia i: orientação para tcc
ACH3068,metodologia de pesquisa em gerontologia ii: orientação para tcc
ACH3826,métodos de pesquisa quantitativa e qualitativa
ACH5546,métodos físicos para a detecção da biodiversidade
ACH2036,métodos quantitativos aplicados à administração de empresas i
ACH2037,métodos quantitativos aplicados à sistemas de informação
ACH3117,métodos quantitativos em análise de situação em saúde
ACH3657,métodos quantitativos para avaliação de políticas públicas
ACH4594,micro e macroeconomia
ACH5525,microbiologia, imunologia e parasitologia
ACH4533,microeconomia
ACH3627,microeconomia - tópicos especiais
ACH3513,microeconomia e políticas públicas
ACH3846,migrações, deslocamentos populacionais e políticas públicas
ACH5504,mineração de dados	
ACH3118,mobilidade e locomoção na velhice
ACH1616,mobilidades e planejamento urbano em lazer e turismo
ACH2678,moda e arte
ACH2635,moda e linguagem
ACH2837,moda na produção audiovisual e na gestão do produto
ACH2727,moda, mídia e cultura: da imagem  ao som
ACH2788,moda, mídia e cultura: da imagem ao texto
ACH1067,modelagem ambiental
ACH1197,modelagem ambiental e aplicações
ACH2138,modelagem e simulação de sistemas complexos
ACH5536,modelagem espacial e geoprocessamento
ACH4013,modelagem matemática
ACH4598,modelos de equações estruturais
ACH4527,modelos e sistemas de apoio à gestão de marketing
ACH1558,monografia em lazer e turismo
ACH2857,música, história e ideias i
ACH1085,natureza e tipos de solos
ACH4565,negociação
ACH3086,neurofarmacologia: envelhecimento e transtornos psiquiátricos
ACH5063,nutrição
ACH3125,nutrição e fonoaudiologia no envelhecimento
ACH3015,nutrição no envelhecimento e na velhice
ACH5011,o ciclo vital humano
ACH3043,o cuidado gerontológico
ACH2867,o tema do segredo na literatura, no cinema e nas séries
ACH4097,o uso de imagens no ensino de ciências
ACH1177,oceanografia básica e gerenciamento costeiro/oceânico
ACH1532,oficinas de lazer e turismo
ACH3686,oficinas de leitura e escrita acadêmicas
ACH2034,organização de computadores digitais
ACH4025,organização e expressão do material genético e engenharia genética
ACH3697,organizações internacionais
ACH1587,orientação da monografia em lazer e turismo
ACH4126,orientação de estágios obrigatórios 1
ACH4127,orientação de estágios obrigatórios 2
ACH4128,orientação de estágios obrigatórios 3
ACH4216,oscilações e ondas
ACH3556,pensamento político brasileiro e políticas públicas
ACH4502,pesquisa de marketing i
ACH4505,pesquisa de marketing ii
ACH4503,pesquisa de marketing iii
ACH2648,pesquisa e tendências do mercado de têxtil e moda
ACH1083,pesquisa em ciência ambiental
ACH5045,pesquisa qualitativa em saúde
ACH4618,planejamento de experimentos
ACH4517,planejamento de marketing
ACH1055,planejamento e gestão ambiental
ACH1547,planejamento e gestão de agências de turismo
ACH3506,planejamento e orçamento em políticas públicas
ACH2618,planejamento estratégico
ACH1537,planejamento estratégico do lazer e turismo
ACH2598,planejamento, programação e controle da produção
ACH3508,poder judiciário e políticas públicas
ACH3507,poder legislativo e gestão de políticas públicas
ACH3656,poder local e gestão de políticas públicas
ACH1518,poder público e terceiro setor no lazer e turismo
ACH2767,poética e moda
ACH3587,política agrícola e de reforma agrária
ACH1117,política ambiental
ACH3597,política industrial
ACH3558,política urbana e regional
ACH3738,políticas culturais
ACH3024,políticas de atenção à pessoa idosa
ACH3598,políticas de cultura
ACH4086,políticas de educação superior no brasil décadas 1990 e 2000
ACH3588,políticas de segurança
ACH5025,políticas e programas de saúde da mulher
ACH3557,políticas públicas de saúde
ACH3577,políticas públicas de trabalho e emprego
ACH3847,políticas públicas e interseccionalidade: perspectivas comparadas
ACH3564,políticas públicas no brasil contemporâneo
ACH3567,políticas públicas para educação no brasil
ACH3578,políticas públicas para inclusão social
ACH1026,poluição da atmosfera
ACH1016,poluição das águas
ACH1036,poluição do solo
ACH0584,prática baseada em evidência
ACH2027,prática e gerenciamento de projetos
ACH3007,práticas de atenção psicossocial ao idoso
ACH0607,práticas de atividade física
ACH0553,práticas de observação i
ACH0554,práticas de observação ii
ACH3038,práticas gerontológicas em promoção de saúde e qualidade de vida
ACH0516,primeiros socorros
ACH1113,princípios de administração
ACH3014,princípios de cognição no envelhecimento
ACH3027,princípios de fisioterapia aplicados à gerontologia
ACH4573,probabilidade
ACH4036,probabilidade e estatística
ACH3026,problemas relacionados a medicamentos
ACH1075,processamento digital de imagens
ACH2554,processo criativo e metodologia de projeto de têxtil e moda
ACH2542,processos de criação
ACH2532,processos de fiação i
ACH2583,processos de fiação ii e texturização
ACH2605,processos de lavanderias
ACH2597,processos de tratamentos de efluentes da indústria têxtil
ACH4076,processos evolutivos em plantas
ACH8616,processos patológicos
